symbol,state,fused_score,technical_score,cr360_score,confidence,data_confidence,false_breakout_risk,entry,stop,target1,target2,target3,risk_pct,fundamental_bias,ownership_bias,rank
WIPRO,WATCH,54.74,38.92,74.3,56.63,73.2,44.18,181.36000061035156,181.03600044250487,181.8460008621216,182.00800094604494,182.33200111389164,0.17865029044789163,BULLISH,NEUTRAL,1
BHARTIARTL,IGNORE,46.12,43.39,62.87,58.56,73.2,40.12,1939.699951171875,1936.4635306222099,1944.5545819963727,1944.5545819963727,1949.4092128208704,0.16685160752361902,NEUTRAL,NEUTRAL,2
PFC,IGNORE,42.63,41.86,58.34,57.69,71.6,49.24,363.6000061035156,362.8237626211984,364.76437132699147,365.1524930681501,365.9287365504673,0.2134883028841956,NEUTRAL,NEUTRAL,3
ICICIBANK,IGNORE,40.39,40.39,60.69,52.94,54.6,40.88,1413.5,1410.6824959891183,1417.7262560163226,1419.1350080217635,1421.9525120326452,0.19932819319998218,NEUTRAL,UNKNOWN,4
PNB,IGNORE,39.36,37.54,57.28,55.23,70.0,40.26,115.37999725341797,115.16725006103516,115.69911804199218,115.80549163818358,116.01823883056639,0.18438827998542398,NEUTRAL,ACCUMULATION,5
IRCTC,IGNORE,38.95,37.83,61.64,54.64,70.0,44.46,481.70001220703125,480.99875717163087,482.7518947601318,483.102522277832,483.8037773132324,0.1455792023312187,NEUTRAL,NEUTRAL,6
DIVISLAB,IGNORE,38.23,45.9,64.13,59.23,70.0,35.85,8504.5,8494.2375,8519.893750000001,8525.025000000001,8535.287500000002,0.12067140925393295,NEUTRAL,NEUTRAL,7
TCS,IGNORE,38.19,38.37,61.24,55.21,71.6,43.94,2286.0,2280.2088884626114,2294.686667306083,2297.582223074777,2303.3733346121658,0.2533294635778035,NEUTRAL,NEUTRAL,8
IDFCFIRSTB,IGNORE,38.02,44.92,56.16,59.44,70.0,34.69,85.68000030517578,85.52474972861154,85.91287617002214,85.99050145830427,86.14575203486851,0.18119815127365704,NEUTRAL,ACCUMULATION,9
INFY,IGNORE,36.63,32.81,68.2,54.05,73.2,47.55,1123.5,1121.034945678711,1127.1975814819334,1128.430108642578,1130.895162963867,0.21940848431588936,NEUTRAL,NEUTRAL,10
POLYCAB,IGNORE,36.3,50.32,54.93,61.69,71.6,39.61,9025.0,9007.175,9042.5,9060.650000000001,9078.475000000002,0.1975069252077643,BEARISH,NEUTRAL,11
ABB,IGNORE,35.05,50.23,57.47,61.64,71.6,32.79,7520.0,7499.0125,7551.481250000001,7561.975,7582.962500000001,0.27908909574468327,NEUTRAL,NEUTRAL,12
CANBK,IGNORE,34.3,33.94,55.39,55.22,71.6,47.19,126.95999908447266,126.82275142669678,127.16587057113647,127.2344944000244,127.37174205780028,0.10810307086136295,NEUTRAL,ACCUMULATION,13
AXISBANK,IGNORE,32.1,43.23,53.77,58.08,70.0,43.72,1235.5999755859375,1233.061739240374,1239.4073301042827,1240.6764482770645,1243.214684622628,0.2054254124082395,BEARISH,NEUTRAL,14
HINDUNILVR,AVOID,28.94,48.6,41.85,61.53,71.6,39.67,2023.9000244140625,2020.3185878208706,2029.2721793038504,2029.2721793038504,2034.6443341936383,0.17695718908985125,BEARISH,NEUTRAL,15
SBIN,IGNORE,28.71,38.77,52.65,58.34,73.2,43.75,1034.5999755859375,1032.7024675641742,1037.4462376185825,1038.3949916294641,1040.2924996512274,0.18340499386622122,BEARISH,NEUTRAL,16
HAL,IGNORE,25.82,35.91,55.94,53.92,70.0,46.36,4874.7998046875,4869.925004882813,4882.112004394531,4884.549404296875,4889.424204101562,0.0999999999999985,NEUTRAL,NEUTRAL,17
LODHA,AVOID,25.74,52.28,49.03,64.67,71.6,34.45,1258.0,1252.6032082693916,1263.80004883,1268.7935834612167,1274.190375191825,0.42899775283055297,BEARISH,NEUTRAL,18
TATASTEEL,AVOID,25.38,44.77,45.12,60.63,71.6,38.16,185.41000366210938,184.75696694510324,186.1499939,186.71607709612164,187.36911381312777,0.35221223456541384,BEARISH,NEUTRAL,19
PERSISTENT,AVOID,25.19,51.1,49.81,62.69,71.6,37.16,5682.0,5665.9,5706.150000000001,5714.200000000001,5730.300000000001,0.28335093277015777,BEARISH,NEUTRAL,20
DRREDDY,IGNORE,24.88,47.46,44.09,64.03,73.2,42.62,1189.699951171875,1186.1185346330915,1195.0720759800502,1196.862784249442,1200.4442007882255,0.3010352766053119,BEARISH,NEUTRAL,21
ULTRACEMCO,AVOID,24.32,42.01,47.68,58.31,71.6,44.25,11544.0,11520.8,11573.0,11590.400000000001,11613.600000000002,0.2009702009702073,BEARISH,NEUTRAL,22
BOSCHLTD,IGNORE,24.23,42.13,50.26,58.63,71.6,42.65,47965.0,47887.75,48080.875,48119.5,48196.75,0.16105493589075368,BEARISH,NEUTRAL,23
FEDERALBNK,AVOID,24.0,51.25,45.79,58.22,53.0,28.59,357.75,356.8464310782296,359.1053533826556,359.5571378435408,360.46070676531116,0.2525699292160408,BEARISH,UNKNOWN,24
DIXON,IGNORE,23.81,43.04,50.12,57.5,70.0,39.62,14556.0,14511.067857142858,14593.0,14645.864285714284,14690.796428571426,0.3086846857456858,BEARISH,NEUTRAL,25
LT,AVOID,22.06,51.95,38.23,58.6,54.6,34.24,4091.800048828125,4085.006858607701,4101.989834158761,4101.989834158761,4112.179619489398,0.1660196035817937,BEARISH,UNKNOWN,26
BAJAJFINSV,AVOID,21.28,46.18,48.06,58.35,71.6,36.46,2002.800048828125,1998.5285801478794,2009.2072518484933,2011.3429861886161,2015.6144548688617,0.21327484402373945,BEARISH,NEUTRAL,27
JSWSTEEL,AVOID,20.81,49.32,39.91,63.56,71.6,36.95,1317.4000244140625,1312.479645211356,1323.30004883,1327.2407828194755,1332.161162022182,0.373491658685442,BEARISH,NEUTRAL,28
SUNPHARMA,AVOID,20.48,44.37,49.41,58.13,70.0,38.88,1908.800048828125,1904.4050537109374,1915.3925415039064,1917.5900390625002,1921.9850341796878,0.23024910963753498,BEARISH,NEUTRAL,29
RECLTD,AVOID,20.38,45.68,27.55,58.63,71.6,36.73,327.1000061035156,326.1389311654227,328.541618510655,328.541618510655,329.98323091779434,0.2938168511647047,BEARISH,NEUTRAL,30
ASIANPAINT,AVOID,19.95,40.32,50.09,55.9,71.6,43.29,2627.60009765625,2622.8440543038505,2634.19995117,2637.112184361049,2641.8682277134485,0.18100331769060926,BEARISH,ACCUMULATION,31
TITAN,AVOID,19.76,53.1,44.22,62.76,70.0,34.94,5073.0,5065.023960658482,5084.964059012277,5088.952078683036,5096.928118024554,0.15722529748705139,BEARISH,NEUTRAL,32
HINDALCO,AVOID,19.74,47.06,41.38,61.17,71.6,40.03,1051.449951171875,1049.5087799072267,1054.3617080688475,1055.3322937011717,1057.27346496582,0.18461851298626705,BEARISH,NEUTRAL,33
ADANIPORTS,AVOID,19.41,41.43,52.31,56.64,71.6,42.55,1676.800048828125,1673.7936322893415,1680.40002441,1682.812881905692,1685.8192984444754,0.17929487423885637,BEARISH,NEUTRAL,34
HDFCBANK,IGNORE,19.27,44.85,41.46,58.43,68.58,37.04,727.1500244140625,725.7700153895787,729.2200379507882,729.9100424630301,731.2900514875139,0.18978326042082014,BEARISH,DISTRIBUTION,35
MCX,AVOID,18.8,51.61,44.39,57.31,54.6,34.14,3258.0,3242.99252406529,3278.0,3288.0149518694197,3303.0224278041296,0.4606346204637775,BEARISH,UNKNOWN,36
CGPOWER,AVOID,18.59,49.38,48.47,61.16,70.0,33.33,872.75,870.6307102748326,875.9289345877511,875.9289345877511,879.1078691755022,0.24282895733799956,BEARISH,NEUTRAL,37
GRASIM,AVOID,18.26,40.99,49.64,58.99,71.6,39.2,3277.60009765625,3267.1998962402345,3293.200399780273,3298.400500488281,3308.8007019042966,0.31731148114904323,BEARISH,NEUTRAL,38
PIDILITIND,AVOID,18.24,49.97,46.13,60.73,71.6,36.66,1652.0999755859375,1647.2206778390066,1659.4189222063337,1661.8585710797993,1663.9000244140625,0.29533913316598076,BEARISH,NEUTRAL,39
HCLTECH,AVOID,17.81,45.81,38.01,57.87,71.6,40.47,1318.300048828125,1315.6374969482422,1322.0,1323.6251525878906,1326.2877044677734,0.20196857932681048,BEARISH,NEUTRAL,40
DMART,AVOID,17.29,49.65,43.84,62.3,70.0,41.98,3935.300048828125,3923.570064871652,3952.8950247628345,3958.760016741071,3970.490000697544,0.29807089195056485,BEARISH,NEUTRAL,41
MAZDOCK,AVOID,16.66,41.21,44.17,57.76,70.0,42.91,2539.800048828125,2533.4257751464843,2546.69995117,2552.0,2558.922869873047,0.25097541377644406,BEARISH,NEUTRAL,42
WAAREEENER,AVOID,16.55,35.84,49.01,53.72,61.32,44.66,2662.0,2654.9750122070313,2671.60009766,2676.0499755859373,2683.074963378906,0.2638988652505131,BEARISH,ACCUMULATION,43
ITC,AVOID,16.49,41.71,42.59,53.64,54.6,40.7,268.54998779296875,267.8764228820801,269.56033515930176,269.79998779,270.57068252563477,0.25081546881615885,BEARISH,UNKNOWN,44
KOTAKBANK,AVOID,16.13,41.28,42.37,56.34,71.6,40.09,398.8500061035156,397.8862617492676,400.29562263488765,400.7774948120117,401.74123916625973,0.2416307733483925,BEARISH,NEUTRAL,45
PREMIERENE,AVOID,15.85,38.27,47.89,55.03,64.33,44.51,1026.699951171875,1023.9774520874023,1030.7836997985842,1032.1449493408204,1034.867448425293,0.26516988545341236,BEARISH,NEUTRAL,46
RELIANCE,AVOID,14.93,40.01,41.32,57.1,71.6,37.96,1305.300048828125,1303.0246956961496,1307.69995117,1309.8507550920758,1312.1261082240512,0.17431648256032617,BEARISH,NEUTRAL,47
BAJFINANCE,AVOID,14.65,35.12,50.84,54.1,73.2,44.86,1078.800048828125,1077.721248779297,1080.418248901367,1080.957648925781,1082.0364489746091,0.09999999999999241,BEARISH,NEUTRAL,48
TATAELXSI,AVOID,14.61,39.71,40.95,57.51,70.0,39.48,3680.60009765625,3670.3404227120536,3695.9896100725446,3701.1194475446428,3711.379122488839,0.27875005901156125,BEARISH,NEUTRAL,49
TVSMOTOR,AVOID,14.56,47.84,43.85,61.75,71.6,31.48,4364.5,4354.306143624442,4379.790784563338,4384.887712751117,4395.081569126675,0.23356298259957442,BEARISH,NEUTRAL,50
COFORGE,AVOID,13.93,46.86,39.26,58.32,68.58,39.56,1874.5999755859375,1871.0799987792968,1878.59997559,1881.6399291992188,1885.1599060058595,0.18777215685924903,BEARISH,DISTRIBUTION,51
COALINDIA,AVOID,13.93,40.36,37.46,58.49,70.0,43.07,405.3999938964844,404.86625442504885,406.20060310363766,406.4674728393554,407.00121231079095,0.13165749370282678,BEARISH,NEUTRAL,52
M&M,AVOID,13.47,35.05,47.3,54.26,70.0,42.64,3407.39990234375,3399.7025512695313,3418.9459289550778,3422.7946044921873,3430.491955566406,0.22590101821990732,BEARISH,NEUTRAL,53
CDSL,AVOID,13.33,45.27,40.78,60.61,70.0,36.53,1385.199951171875,1381.2981654575892,1391.0526297433037,1393.0035226004466,1396.9053083147323,0.2816767146854777,BEARISH,NEUTRAL,54
CUMMINSIND,AVOID,13.33,41.8,48.14,58.73,71.6,41.13,5167.0,5148.435714285714,5194.846428571429,5194.846428571429,5222.692857142857,0.3592855760457846,BEARISH,NEUTRAL,55
COCHINSHIP,IGNORE,13.28,34.56,44.62,60.5,70.0,55.13,1508.699951171875,1503.0895699637276,1513.5,1519.9207135881697,1525.5310947963171,0.3718685881702017,BEARISH,NEUTRAL,56
NTPC,AVOID,12.54,44.58,39.77,59.91,70.0,41.74,339.5,338.6251790727888,340.8122313908168,341.2496418544224,342.1244627816336,0.257679212727895,BEARISH,NEUTRAL,57
BANKBARODA,AVOID,11.8,35.93,33.97,56.93,71.6,43.33,240.69000244140625,240.02711023603166,241.68434074946813,242.01578685215543,242.67867905753002,0.2754132696209368,BEARISH,ACCUMULATION,58
MARUTI,AVOID,11.44,39.59,46.94,55.84,70.0,43.14,13558.0,13530.317857142858,13599.523214285713,13605.0,13641.046428571426,0.204175710703216,BEARISH,NEUTRAL,59
HEROMOTOCO,AVOID,11.17,40.22,44.74,55.98,71.6,40.41,5659.0,5646.5125,5677.731250000001,5683.975,5696.462500000001,0.2206661954408938,BEARISH,NEUTRAL,60
TRENT,AVOID,10.96,38.8,47.12,55.8,71.6,44.41,2900.199951171875,2892.8810346330915,2906.89990234,2914.837784249442,2922.1567007882254,0.25235903254967423,BEARISH,NEUTRAL,61
POWERGRID,AVOID,10.94,44.58,39.45,58.27,70.0,38.35,270.0,269.3880372183664,270.6499939,271.22392556326724,271.83588834490087,0.22665288208652662,BEARISH,NEUTRAL,62
